axis,axis_group,gene,cosine_mean,rank,known_AD_target,ad_lit_count,allergy_imm_count,novelty_tier,sm_tier,degrader_tier,degrader_score,n_allergic_disease_loci,top_disease_trait,top_disease_p
STAT5B,JAK_STAT,DHX36,0.368,13,False,17,40,minimal AD literature (emerging),,,,0,,
STAT5B,JAK_STAT,PCGF3,0.366,14,False,4,5,minimal AD literature (emerging),,,,0,,
STAT5B,JAK_STAT,TBX21,0.359,15,False,444,1397,well-studied in AD/immunology,,,,0,,
STAT5B,JAK_STAT,ARID1A,0.359,16,False,58,133,some AD literature,,,,0,,
TYK2,JAK_STAT,IFNAR1,0.611,2,False,280,767,well-studied in AD/immunology,approved drug,high (HQ ligand + ubiquitination),4.0,0,,
TYK2,JAK_STAT,STAT2,0.599,3,False,558,1139,well-studied in AD/immunology,none,"handle only (ubiquitinated, no ligand)",1.0,0,,
TYK2,JAK_STAT,WAC,0.576,4,False,75,96,some AD literature,none,low,0.0,0,,
TYK2,JAK_STAT,UBE2V2,0.55,5,False,4,4,minimal AD literature (emerging),structural ligand/pocket,moderate (structural ligand),3.0,0,,
TYK2,JAK_STAT,PCBP1,0.548,6,False,24,51,some AD literature,none,"handle only (ubiquitinated, no ligand)",1.0,0,,
TYK2,JAK_STAT,IRF2BP1,0.537,7,False,1,3,minimal AD literature (emerging),none,"handle only (ubiquitinated, no ligand)",1.0,0,,
TYK2,JAK_STAT,RSBN1L,0.529,8,False,0,3,unstudied in AD (novel),none,"handle only (ubiquitinated, no ligand)",1.0,0,,
TYK2,JAK_STAT,PPIH,0.526,9,False,6,10,minimal AD literature (emerging),structural ligand/pocket,moderate (structural ligand),3.0,0,,
TYK2,JAK_STAT,ADNP2,0.522,10,False,1,2,minimal AD literature (emerging),none,"handle only (ubiquitinated, no ligand)",1.0,0,,
TYK2,JAK_STAT,ELP3,0.516,11,False,8,18,minimal AD literature (emerging),structural ligand/pocket,moderate (structural ligand),3.0,0,,
TYK2,JAK_STAT,PRPF39,0.504,12,False,2,0,minimal AD literature (emerging),,,,0,,
TYK2,JAK_STAT,NRBP1,0.499,13,False,2,11,minimal AD literature (emerging),,,,0,,
