gene,cosine_Stim8hr,pearson_8,n_downstream_8,cosine_Stim48hr,pearson_48,n_downstream_48,cosine_mean,cosine_min,n_downstream_max,rank,n_downstream_Stim8hr,n_downstream_Stim48hr,nd_min,anchor
MEN1,0.18938458573951858,0.19608618082249551,1315,0.26275188868030114,0.2672842691733985,2156,0.22606823720990987,0.18938458573951858,2156,45,1315.0,2156.0,1315.0,STAT6
SKIC8,0.23019987202732883,0.23173884930074376,1534,0.2135054247970298,0.21352315560475008,2399,0.22185264841217933,0.2135054247970298,2399,46,1534.0,2399.0,1534.0,STAT6
RBPJ,0.10056733364515559,0.10044760607060593,56,0.34268072571404373,0.34394128106799904,119,0.22162402967959965,0.10056733364515559,119,47,56.0,119.0,56.0,STAT6
MTMR3,0.31372657969091083,0.3328079963597329,1099,0.12944890956614044,0.13165707676015245,22,0.22158774462852565,0.12944890956614044,1099,48,1099.0,22.0,22.0,STAT6
PPDPF,0.2321303183049249,0.24466549848734387,1141,0.2094831490795132,0.21333485901300114,132,0.22080673369221904,0.2094831490795132,1141,49,1141.0,132.0,132.0,STAT6
CBLL1,0.16059307800264958,0.16500494186490614,531,0.28049471699995693,0.2811780671230219,231,0.22054389750130327,0.16059307800264958,531,50,531.0,231.0,231.0,STAT6
SAP130,0.13812947722515406,0.13805494795157694,594,0.2982523813522247,0.30048970312995793,572,0.21819092928868938,0.13812947722515406,594,51,594.0,572.0,572.0,STAT6
CHTF18,0.20107958314864047,0.20400714942244177,85,0.23407356906024607,0.23439839200958384,857,0.21757657610444325,0.20107958314864047,857,52,85.0,857.0,85.0,STAT6
UBR5,0.17890809139513322,0.1829429185644776,1705,0.25513493633867734,0.25507868049780535,1302,0.21702151386690527,0.17890809139513322,1705,53,1705.0,1302.0,1302.0,STAT6
NR4A3,0.1447250532495701,0.14619848598912313,31,0.2887461595371851,0.2941866409605297,395,0.21673560639337758,0.1447250532495701,395,54,31.0,395.0,31.0,STAT6
C16orf87,0.32726612674115424,0.332308410198881,181,0.10420864728017755,0.1060241713210827,54,0.2157373870106659,0.10420864728017755,181,55,181.0,54.0,54.0,STAT6
VAV1,0.1635592630362828,0.17051141082055749,4897,0.26462771528722545,0.2657410513200076,3574,0.21409348916175414,0.1635592630362828,4897,56,4897.0,3574.0,3574.0,STAT6
NFKB2,0.27512617498542186,0.27512307627066807,1349,0.14586945474746071,0.14630016463408171,737,0.21049781486644129,0.14586945474746071,1349,57,1349.0,737.0,737.0,STAT6
PCBP2,0.191661585547208,0.19401496446908734,626,0.22906087327290095,0.22996157223540015,101,0.21036122941005447,0.191661585547208,626,58,626.0,101.0,101.0,STAT6
