gene,sm_tier,sm_ligand_score,degrader_tier,degrader_score
PPIH,structural ligand/pocket,2.0,moderate (structural ligand),3
RCOR1,high-quality pocket/ligand,3.0,high (HQ ligand + ubiquitination),4
RSBN1L,none,0.0,"handle only (ubiquitinated, no ligand)",1
SIAH2,none,0.0,low,0
STAT2,none,0.0,"handle only (ubiquitinated, no ligand)",1
STIP1,structural ligand/pocket,2.0,moderate (structural ligand),3
UBE2V2,structural ligand/pocket,2.0,moderate (structural ligand),3
USF2,none,0.0,low,0
VAV1,structural ligand/pocket,2.0,moderate (structural ligand),3
WAC,none,0.0,low,0
WASF2,structural ligand/pocket,2.0,moderate (structural ligand),3
ZNF613,none,0.0,low,0
